word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
the,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1778,514,-0.1803852080989871,3,1,the,0.12308757355486327,0.7625036403018557,0.13333333333333333
and,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,734,403,-0.0824945504087193,3,1,and,0.05081343025268259,0.7457138552360976,0.13333333333333333
of,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,649,354,-0.1336223420647147,2,1,of,0.04492904119072343,0.7431495551214262,0.06666666666666667
in,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,353,272,-0.1091359773371104,2,1,in,0.024437521633783318,0.7294786794214851,0.26666666666666666
to,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,301,228,0.0058697674418604,2,1,to,0.02083766008999654,0.7256012541915292,0.06666666666666667
a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,243,195,-0.1449831275720165,1,1,a,0.016822429906542057,0.7201726905627681,0.2
us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,235,202,-0.1407034042553191,2,1,us,0.016268605053651783,0.7192996495600339,0.06666666666666667
ussr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,178,-0.1836940000000001,4,1,ussr,0.013845621322256836,0.7149977972429479,0.0
war,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,196,145,-0.6611795918367348,3,1,war,0.0135687088958117,0.7144473594668377,0.26666666666666666
countries,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,115,-0.0081822222222222,9,1,countries,0.009345794392523364,0.7037930116945237,0.06666666666666667
cold,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,110,96,-0.6406027272727276,4,1,cold,0.00761509172724126,0.6975063903803305,0.2
on,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,101,91,-0.0803069306930693,2,1,on,0.0069920387677397024,0.694786511508806,0.2
was,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,95,81,-0.1991326315789473,3,1,was,0.006576670128071997,0.6927971477338802,0.13333333333333333
