word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
after,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,69,68,0.0217391304347826,5,1,after,0.001726683516428518,0.6818596751944429,0.2
before,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,68,68,-0.0295455882352941,6,1,before,0.0017016591176396987,0.6813369800735739,0.13333333333333333
mr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0.0069820895522388,2,0,mr,0.0016766347188508796,0.6808043476166022,0.0
where,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,65,61,-0.0284646153846153,5,1,where,0.0016265859212732413,0.6797078647811866,0.13333333333333333
oh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,62,-0.0160430769230769,2,1,oh,0.0016265859212732413,0.6797078647811866,0.06666666666666667
trent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,64,-0.0050384615384615,5,1,trent,0.0016265859212732413,0.6797078647811866,0.06666666666666667
street,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,-0.0376734375,6,1,street,0.0016015615224844223,0.6791432659055908,0.06666666666666667
on,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,59,59,-0.0156949152542372,2,1,on,0.001476439528540327,0.6761398487645733,0.2
yes,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58,57,0.2026931034482759,3,1,yes,0.0014514151297515077,0.6754997548619163,0.13333333333333333
they,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,55,0.0091620689655172,4,1,they,0.0014514151297515077,0.6754997548619163,0.06666666666666667
his,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,57,56,0.0084754385964912,3,1,his,0.0014263907309626886,0.6748452867147411,0.13333333333333333
back,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,57,56,0.002138596491228,4,1,back,0.0014263907309626886,0.6748452867147411,0.26666666666666666
into,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56,55,0.0295982142857142,4,1,into,0.0014013663321738696,0.6741758511411072,0.06666666666666667
wilde,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0.0112563636363636,5,1,wilde,0.0013763419333850503,0.6734908190761342,0.06666666666666667
came,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,0.0415574074074074,4,1,came,0.0013513175345962313,0.6727895226904915,0.13333333333333333
had,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53,50,-0.0074018867924528,3,1,had,0.0013262931358074123,0.672071252218482,0.06666666666666667
no,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,53,50,-0.0867150943396226,2,1,no,0.0013262931358074123,0.672071252218482,0.2
who,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,53,51,0.0127018867924528,3,1,who,0.0013262931358074123,0.672071252218482,0.2
