word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word,relative_frequency,double_log_freq,participation_score
or,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,29,-0.0101103448275862,2,1,or,0.002884424109807042,0.6465873928647587,0.06666666666666667
science,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0.007225,7,1,science,0.0027849612094688683,0.644951443477734,0.06666666666666667
e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,22,-0.0816321428571428,1,1,e,0.0027849612094688683,0.644951443477734,0.06666666666666667
biological,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0.0,10,1,biological,0.0027849612094688683,0.644951443477734,0.06666666666666667
mediated,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0.00025,8,1,mediated,0.0027849612094688683,0.644951443477734,0.13333333333333333
off,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,28,28,0.0115857142857142,3,1,off,0.0027849612094688683,0.644951443477734,0.13333333333333333
modi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,0.0422296296296296,4,1,modi,0.0026854983091306943,0.6432363202993117,0.06666666666666667
using,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,-0.0146846153846153,5,1,using,0.00258603540879252,0.6414349232056878,0.06666666666666667
protein,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0.0024153846153846,7,1,protein,0.00258603540879252,0.6414349232056878,0.06666666666666667
mutations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,-0.121868,9,1,mutations,0.0024865725084543466,0.6395392040666789,0.06666666666666667
genes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,-0.022772,5,1,genes,0.0024865725084543466,0.6395392040666789,0.06666666666666667
med,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,-0.0423879999999999,3,1,med,0.0024865725084543466,0.6395392040666789,0.06666666666666667
ef,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0.0808041666666666,2,1,ef,0.0023871096081161725,0.6375399955160673,0.06666666666666667
mol,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0.0033565217391304,3,1,mol,0.002287646707777999,0.6354268000766977,0.06666666666666667
ciency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,-0.0009347826086956,6,1,ciency,0.002287646707777999,0.6354268000766977,0.0
res,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,-0.0685304347826087,3,1,res,0.002287646707777999,0.6354268000766977,0.06666666666666667
