mapped_id,word,sentence_id,location_in_sentence,bundle_id
238,a,27,31,8
239,a,27,41,11
240,a,27,46,13
241,a,27,52,14
242,a,28,4,2
243,a,28,11,4
244,a,29,2,1
245,a,29,10,4
246,a,29,22,6
247,a,30,4,2
248,a,34,2,1
249,a,34,4,2
250,a,38,2,1
251,a,40,9,2
252,a,41,13,5
253,a,42,6,2
254,a,42,15,4
255,a,44,5,3
256,a,44,17,7
257,a,45,25,6
258,a,46,3,3
259,a,47,15,6
260,a,47,25,9
261,a,48,29,8
262,a,49,6,3
263,a,49,13,5
264,a,49,24,9
265,a,49,32,12
266,a,49,39,14
267,a,52,3,1
268,a,52,8,4
269,a,53,10,2
270,a,53,23,4
271,a,53,28,7
272,a,53,45,12
273,a,57,25,5
274,a,59,12,3
275,a,59,24,6
276,a,59,37,8
277,a,60,6,2
278,a,62,3,1
279,a,63,2,2
280,a,63,31,7
281,a,64,6,2
282,a,65,9,1
283,a,66,13,6
284,a,66,16,8
285,a,67,5,3
286,a,69,3,1
287,a,69,11,4
288,a,69,16,5
289,a,71,34,8
290,a,72,2,1
291,a,73,3,1
292,a,74,2,1
293,a,75,27,6
294,a,77,3,2
295,a,78,2,1
296,a,79,8,2
297,a,79,20,5
298,a,79,24,6
299,a,79,32,8
300,a,83,4,1
301,a,83,8,3
302,a,84,16,4
303,a,85,0,1
304,a,85,38,11
305,a,87,22,3
306,a,88,5,2
307,a,88,21,9
308,a,89,3,1
309,a,90,6,4
310,a,91,18,5
311,a,94,13,5
312,a,96,16,2
313,a,97,2,1
314,a,98,3,2
315,a,100,29,3
316,a,100,37,5
317,a,101,1,1
318,a,102,8,2
319,a,105,14,3
320,a,105,36,8
321,a,105,39,9
322,a,105,43,10
323,a,105,53,11
324,a,106,11,3
325,a,106,19,5
326,a,109,11,3
327,a,109,16,4
328,a,118,5,1
329,a,125,2,1
330,a,127,15,3
331,a,133,11,1
332,a,133,18,5
333,a,137,2,1
334,a,137,22,7
335,a,138,15,4
336,a,139,11,2
337,a,143,4,1
338,a,145,35,5
339,a,146,17,4
340,a,161,6,2
341,a,161,9,4
342,a,161,11,5
343,a,163,11,3
344,a,164,12,2
345,a,165,13,3
346,a,166,20,7
347,a,170,4,2
348,a,172,2,1
349,a,183,18,4
350,a,188,3,1
351,a,191,5,1
352,a,191,22,6
353,a,195,2,2
354,a,195,37,7
355,a,196,20,3
356,a,199,5,2
357,a,202,6,1
358,a,203,6,1
359,a,205,5,1
360,a,206,14,3
361,a,207,0,1
362,a,221,15,3
363,a,223,18,4
364,a,224,1,1
365,a,224,11,4
366,a,228,20,2
367,a,229,1,2
368,a,231,19,6
369,a,231,22,7
370,a,231,33,9
371,a,231,40,10
372,a,232,11,4
373,a,242,3,1
374,a,244,10,1
375,a,252,21,6
376,a,252,24,7
377,a,253,5,1
378,a,254,8,1
379,a,255,5,1
380,a,255,10,3
381,a,255,17,6
382,a,256,13,3
383,a,260,7,2
384,a,262,11,2
385,a,262,18,5
386,a,263,6,2
387,a,263,28,8
388,a,265,31,8
389,a,266,24,7
390,a,266,27,9
391,a,267,9,3
392,a,267,12,5
393,a,269,6,2
394,a,275,8,2
395,a,284,6,1
396,a,286,15,4
397,a,287,3,1
398,a,288,2,1
399,a,288,9,2
400,a,292,7,1
401,a,296,9,3
402,a,300,7,1
403,a,305,11,2
404,a,306,13,6
405,a,308,6,2
406,a,313,16,4
407,a,318,15,1
408,a,320,24,5
409,a,322,48,11
410,a,323,6,2
411,a,323,17,6
412,a,324,3,3
413,a,324,26,6
414,a,329,9,3
415,a,329,29,8
416,a,330,8,2
417,a,330,23,5
418,a,332,23,4
419,a,332,26,6
420,a,332,34,9
421,a,333,2,2
422,a,333,35,8
423,a,334,1,1
