mapped_id,word,sentence_id,location_in_sentence,bundle_id
308,\x00k,52,81,10
309,\x01\x13,52,84,10
310,\x12,52,27,5
311,\x12,52,51,7
312,\x12,52,75,9
313,\x12,53,20,3
314,\x12,111,9,1
315,\x12,129,4,0
316,\x12,131,5,0
317,\x13,52,34,6
318,\x13,52,59,8
319,\x13,53,27,3
320,\x13,111,13,1
321,\x13,129,9,0
322,\x132,131,10,0
323,\x88,45,2,1
324,\x88,46,0,0
325,a,2,2,1
326,a,2,6,2
327,a,3,0,1
328,a,3,9,3
329,a,13,16,6
330,a,14,3,1
331,a,48,10,2
332,a,52,5,2
333,a,52,19,5
334,a,52,28,6
335,a,52,43,7
336,a,52,52,8
337,a,52,67,9
338,a,52,76,10
339,a,53,10,3
340,a,55,7,4
341,a,58,7,4
342,a,58,15,8
343,a,67,7,3
344,a,101,15,2
345,a,103,1,1
346,a,109,20,8
347,according,6,6,2
348,actual,52,104,16
349,add,51,8,1
350,all,50,8,2
351,an,2,10,4
352,an,44,16,4
353,an,45,13,3
354,an,45,21,5
355,an,46,11,2
356,an,46,19,4
357,an,60,7,2
358,an,65,23,8
359,an,65,26,9
360,an,82,11,2
361,an,82,14,3
362,an,83,2,1
363,an,105,1,1
364,an,111,17,2
365,and,13,23,8
366,and,14,8,1
367,and,18,1,0
368,and,34,1,0
369,and,45,15,3
370,and,46,13,2
371,and,50,14,4
372,and,51,6,1
373,and,56,26,2
374,and,59,27,3
375,and,60,22,5
376,and,64,13,1
377,and,81,7,0
378,and,103,16,2
379,answers,112,0,0
380,appears,123,5,0
381,approximate,60,12,2
382,approximate,64,2,0
383,approximated,83,7,1
384,approximated,105,5,1
385,approximates,103,4,1
386,approximating,2,9,3
387,approximation,3,3,1
388,approximation,65,21,7
389,are,0,7,1
390,are,6,1,0
391,are:,7,5,1
392,area,65,4,1
393,area,65,13,4
394,areas,2,15,6
395,as,52,94,12
396,as,101,14,1
397,as,109,16,5
398,as,111,16,1
399,b,3,8,2
400,b,4,8,3
401,b,13,17,6
402,b,14,4,1
403,b,52,18,4
404,b,52,30,6
405,b,52,35,6
406,b,52,42,6
407,b,52,54,8
408,b,52,60,8
409,b,52,66,8
410,b,52,78,10
411,b,52,85,10
412,b,53,9,2
413,b,53,23,3
414,b,53,28,3
415,basic,2,0,0
416,be,15,5,1
417,be,65,22,7
418,be,83,6,1
419,be,123,7,1
420,between,50,12,4
421,by,2,12,5
422,by,4,3,2
423,by,13,12,5
424,by,48,8,1
425,by,59,21,2
426,by,105,6,2
427,called,53,33,4
428,can,13,1,0
