"filename", "language", "Python", "CSV", "Markdown", "JSON", "comment", "blank", "total"
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/intermediate_data/verbs2.csv", "CSV", 0, 526, 0, 0, 0, 1, 527
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/intermediate_data/wordnet_data/adjectives.csv", "CSV", 0, 18157, 0, 0, 0, 1, 18158
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/intermediate_data/wordnet_data/adverbs.csv", "CSV", 0, 3622, 0, 0, 0, 1, 3623
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/intermediate_data/wordnet_data/nouns.csv", "CSV", 0, 82116, 0, 0, 0, 1, 82117
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/intermediate_data/wordnet_data/verbs.csv", "CSV", 0, 13768, 0, 0, 0, 1, 13769
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/closed_class/auxiliary.csv", "CSV", 0, 15, 0, 0, 0, 1, 16
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/closed_class/compositions.csv", "CSV", 0, 5, 0, 0, 0, 1, 6
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/closed_class/conjunctions.csv", "CSV", 0, 246, 0, 0, 0, 1, 247
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/closed_class/determiners.csv", "CSV", 0, 8, 0, 0, 0, 1, 9
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/closed_class/existential_determiners.csv", "CSV", 0, 10, 0, 0, 0, 1, 11
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/closed_class/modifiers.csv", "CSV", 0, 10, 0, 0, 0, 1, 11
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/closed_class/negative_quantifiers.csv", "CSV", 0, 10, 0, 0, 0, 1, 11
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/closed_class/posessive_det.csv", "CSV", 0, 9, 0, 0, 0, 1, 10
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/closed_class/prepositions.csv", "CSV", 0, 15, 0, 0, 0, 1, 16
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/closed_class/pronouns.csv", "CSV", 0, 64, 0, 0, 0, 1, 65
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/closed_class/universal_determiners.csv", "CSV", 0, 9, 0, 0, 0, 1, 10
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/clustered_word_features.csv", "CSV", 0, 6609, 0, 0, 0, 1, 6610
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/open_class/adjectives.csv", "CSV", 0, 32094, 0, 0, 0, 1, 32095
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/open_class/adverbs.csv", "CSV", 0, 6762, 0, 0, 0, 1, 6763
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/open_class/expanded_verbs.csv", "CSV", 0, 26491, 0, 0, 0, 1, 26492
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/open_class/nouns.csv", "CSV", 0, 316400, 0, 0, 0, 1, 316401
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/reviews.csv", "CSV", 0, 50001, 0, 0, 0, 1, 50002
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/unclassified_words.csv", "CSV", 0, 11636, 0, 0, 0, 1, 11637
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/dict/working_set/word_sentiment_stats.csv", "CSV", 0, 29852, 0, 0, 0, 1, 29853
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/error_label_audit_sample.csv", "CSV", 0, 120, 0, 0, 0, 1, 121
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/excluded_low_confidence_words.csv", "CSV", 0, 1492, 0, 0, 0, 1, 1493
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/final_prediction_statistics.csv", "CSV", 0, 5, 0, 0, 0, 1, 6
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/final_resolved_predictions.csv", "CSV", 0, 2347, 0, 0, 0, 1, 2348
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/grid_search_results.csv", "CSV", 0, 37, 0, 0, 0, 1, 38
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/included_low_confidence_words.csv", "CSV", 0, 1492, 0, 0, 0, 1, 1493
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/label_audit_sample.csv", "CSV", 0, 201, 0, 0, 0, 1, 202
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/label_audit_sample_checked.csv", "CSV", 0, 201, 0, 0, 0, 1, 202
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/label_disagreements_with_spacy.csv", "CSV", 0, 82, 0, 0, 0, 1, 83
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/likely_pos_gaps.csv", "CSV", 0, 2162, 0, 0, 0, 1, 2163
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/lowest_certainty_words.csv", "CSV", 0, 2347, 0, 0, 0, 1, 2348
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/model_comparison.csv", "CSV", 0, 5, 0, 0, 0, 1, 6
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/output/verbs.csv", "CSV", 0, 7658, 0, 0, 0, 1, 7659
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/pos/core_pos/adjectives.csv", "CSV", 0, 49959, 0, 0, 0, 1, 49960
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/pos/core_pos/adverbs.csv", "CSV", 0, 10758, 0, 0, 0, 1, 10759
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/pos/core_pos/expanded_verbs.csv", "CSV", 0, 37535, 0, 0, 0, 1, 37536
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/pos/core_pos/nouns.csv", "CSV", 0, 394844, 0, 0, 0, 1, 394845
"/home/michael/Desktop/projects/pos_analysis/analyze_single_document/data/pos/core_pos/plural_nouns.csv", "CSV", 0, 90964, 0, 0, 0, 1, 90965
