word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word
thestreetofthefourwinds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.0,23,1,thestreetofthefourwinds
castaigne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.0,9,0,captaine
hello,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.0,5,1,hello
day,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.0,3,1,day
theprophetsparadise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,19,1,theprophetsparadise
goon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0.0,4,1,goon
comein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,6,0,come in
saidhastings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,12,1,saidhastings
shemurmured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,11,1,shemurmured
herepeated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,10,1,herepeated
scott,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,5,1,scott
monsieur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,8,1,monsieur
shesmiled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,9,1,shesmiled
look,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,4,1,look
heobserved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,10,1,heobserved
icried,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,6,0,cried
elliott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,7,1,elliott
saidtrent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,9,1,saidtrent
jeanne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0.0,6,1,jeanne
iloveyou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,8,1,iloveyou
youknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.0,7,1,youknow
othekinginyellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,16,1,othekinginyellow
hecontinued,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0,11,1,hecontinued
