word,noun,verb,adjective,adverb,auxiliary,compositions,conjunctions,determiners,existential_determiners,modifiers,negative_quantifiers,prepositions,universal_determiners,possessive_determiners,pronouns,frequency,review_count,avg_sentiment,length,confident,resolved_word
came,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106,106,0.0352943396226415,4,1,came
no,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,105,103,-0.15963904761904765,2,1,no
been,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,104,103,0.006474038461538462,4,1,been
is,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,104,100,0.024090384615384618,2,1,is
just,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,103,102,0.02378252427184466,4,1,just
d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,95,0.13308725490196083,1,1,d
or,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,102,95,-0.010654901960784313,2,1,or
little,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,102,101,0.014762745098039211,6,1,little
now,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,99,98,0.01490505050505051,3,1,now
don,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,92,0.029852083333333335,3,1,don
know,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,94,0.07557083333333334,4,1,know
house,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,95,93,-0.010523157894736838,5,1,house
great,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,93,93,0.6261247311827945,5,1,great
went,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,89,-0.04202637362637362,4,1,went
after,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,90,89,0.039161111111111105,5,1,after
before,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,89,89,0.007312359550561805,6,1,before
eyes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89,89,-0.005240449438202251,4,1,eyes
time,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87,84,0.06388505747126436,4,1,time
didn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,84,0.013815116279069777,4,1,didn
do,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,86,85,0.07374186046511629,2,1,do
come,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,0.033474418604651175,4,1,come
looked,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,0.09028809523809524,6,1,looked
mr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,82,0.006897619047619044,2,0,mr
got,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,0.01968690476190476,3,1,got
see,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,82,82,0.037331707317073165,3,1,see
old,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82,82,0.05113658536585366,3,1,old
m,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,75,0.0609925925925926,1,1,m
them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,78,-0.006319753086419755,4,1,them
any,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,79,79,-0.007949367088607589,3,1,any
way,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,78,78,0.042271794871794874,3,1,way
ll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,75,0.0833116883116883,2,0,ll
wilson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,-0.01333506493506494,6,1,wilson
two,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75,74,0.034981333333333336,3,1,two
car,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,73,0.009036486486486485,3,1,car
away,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,74,74,0.011377027027027017,4,1,away
not,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,73,73,-0.012735616438356166,3,1,not
more,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,73,71,0.10295616438356166,4,1,more
get,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,70,0.037083561643835625,3,1,get
night,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,72,0.036534246575342454,5,1,night
room,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,71,0.0013874999999999998,4,1,room
here,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,72,72,0.03756527777777777,4,1,here
go,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,71,70,0.03271408450704225,2,1,go
re,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,69,-0.005000000000000008,2,1,re
going,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,71,69,-0.0008915492957746419,5,1,going
around,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,71,71,0.015626760563380283,6,1,around
new,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,70,70,-0.0037485714285714227,3,1,new
well,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,69,68,0.10547971014492756,4,1,well
door,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,0.009429411764705886,4,1,door
jordan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,0.06060882352941176,6,1,jordan
f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,67,0.007263235294117647,1,1,f
your,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68,67,0.052780882352941184,4,1,your
moment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,66,0.0011417910447761312,6,1,moment
gastby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0.6248999999999993,6,1,gastby
think,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,0.003410606060606062,5,1,think
