mapped_id,word,sentence_id,location_in_sentence,bundle_id,xmin,ymin,xmax,ymax,Page
0,$3.00,26977,1,0,59.59099197387695,560.0582885742188,70.16851043701172,730.890380859375,63
1,$5.00,26976,0,0,59.59099197387695,560.0582885742188,70.16851043701172,730.890380859375,63
2,(1925),3,0,0,86.92794036865234,483.4024658203125,108.21041107177734,703.400146484375,0
3,(I’ve,1492,1,0,198.79095458984372,443.4216613769531,209.36846923828125,745.885009765625,3
4,(one,15705,0,0,160.87095642089844,93.62458038330078,171.44847106933594,396.091552734375,35
5,(or,9595,1,0,148.15097045898438,93.62818145751952,158.72848510742188,396.0903930664063,21
6,(said,11646,0,0,496.8713073730469,443.4271545410156,507.4488220214844,730.8905029296875,26
7,(the,9713,1,0,363.4309387207031,96.28179931640624,374.0084533691406,396.0893249511719,21
8,(“Rot-Gut”),9743,0,0,414.0709228515625,93.63190460205078,424.6484375,396.08929443359375,21
9,..............,26949,0,0,401.4709167480469,102.71430206298828,412.0484313964844,396.0877685546875,62
10,.....................................................,26933,1,0,363.5509338378906,102.32178497314452,374.1284484863281,396.0877685546875,62
11,.........................................................,26941,1,0,388.8709411621094,102.68073272705078,399.4484558105469,396.0877685546875,62
12,.................................................................,26924,1,0,338.2309265136719,124.39685821533205,348.8084411621094,396.0877685546875,62
13,...............................................................................,26936,0,0,376.1509399414063,102.66614532470705,386.72845458984375,396.082763671875,62
14,1,22,1,0,253.2713928222656,443.41998291015625,263.8489074707031,730.8900146484375,0
15,10,2038,1,0,59.59099197387695,93.61597442626952,70.16851043701172,396.0909729003906,4
16,100,21246,0,0,59.59099197387695,93.62311553955078,70.16851043701172,381.0904541015625,49
17,101,21459,0,0,59.59099197387695,443.4201354980469,70.16851043701172,745.890869140625,50
18,102,21673,0,0,59.59099197387695,96.1717529296875,70.16851043701172,381.0904541015625,50
19,103,21852,0,0,59.59099197387695,443.4240417480469,70.16851043701172,730.890380859375,51
20,104,22054,1,0,59.59099197387695,96.281982421875,70.16851043701172,381.0904541015625,51
21,105,22243,0,0,37.3910026550293,727.71044921875,47.9685173034668,745.8903198242188,52
22,106,22455,0,0,59.59099197387695,96.1666259765625,70.16851043701172,381.0904541015625,52
23,107,22670,0,0,37.3910026550293,727.71044921875,47.9685173034668,745.8903198242188,53
24,108,22902,1,0,37.3910026550293,93.50794219970705,47.9685173034668,111.6878662109375,53
25,109,23145,1,0,38.90396118164063,638.97509765625,47.44243621826172,643.8900756835938,54
26,11,2242,0,0,37.3910026550293,732.8700561523438,47.9685173034668,745.8903198242188,5
27,110,23374,0,0,59.59099197387695,366.9886474609375,70.16851043701172,396.0909729003906,54
28,111,23586,0,0,37.3910026550293,727.71044921875,47.9685173034668,745.8903198242188,55
29,112,23813,0,0,59.59099197387695,93.62598419189452,70.16851043701172,381.0904541015625,55
30,113,24020,0,0,59.59099197387695,443.4194641113281,70.16851043701172,745.890869140625,56
31,114,24232,1,0,37.3910026550293,93.50794219970705,47.9685173034668,111.6878662109375,56
32,115,24457,0,0,38.90396118164063,638.97509765625,47.44243621826172,643.8900756835938,57
33,116,24648,1,0,37.3910026550293,93.50794219970705,47.9685173034668,111.6878662109375,57
34,117,24856,0,0,37.3910026550293,727.71044921875,47.9685173034668,745.8903198242188,58
35,118,25074,0,0,59.59099197387695,93.62659454345705,70.16851043701172,396.0909729003906,58
36,119,25293,0,0,38.90396118164063,638.97509765625,47.44243621826172,643.8900756835938,59
37,12,2462,0,0,59.59099197387695,96.29718017578124,70.16851043701172,381.0904541015625,5
38,120,25515,0,0,59.59099197387695,268.695068359375,70.16851043701172,381.0904541015625,59
39,121,25726,0,0,59.59099197387695,443.4234619140625,70.16851043701172,715.8908081054688,60
40,122,25929,0,0,37.3910026550293,93.50794219970705,47.9685173034668,111.6878662109375,60
41,123,26150,0,0,38.90396118164063,638.97509765625,47.44243621826172,643.8900756835938,61
42,124,26366,0,0,59.59099197387695,93.61988067626952,70.16851043701172,396.0909729003906,61
43,125,26578,0,0,37.3910026550293,727.71044921875,47.9685173034668,745.8903198242188,62
44,126,26795,0,0,59.59099197387695,93.63068389892578,70.16851043701172,381.0904541015625,62
45,127,26974,0,0,59.59099197387695,560.0582885742188,70.16851043701172,730.890380859375,63
46,128,27188,0,0,59.59099197387695,93.61969757080078,70.16851043701172,381.0904541015625,63
47,129,27408,0,0,37.3910026550293,727.71044921875,47.9685173034668,745.8903198242188,64
48,"12th,",26920,1,0,312.91094970703125,223.70538330078125,323.48846435546875,396.0877685546875,62
49,13,2688,0,0,37.3910026550293,732.8700561523438,47.9685173034668,745.8903198242188,6
50,130,27681,0,0,59.59099197387695,93.61988067626952,70.16851043701172,396.0909729003906,64
51,131,27902,0,0,37.3910026550293,727.71044921875,47.9685173034668,745.8903198242188,65
52,132,28150,1,0,59.59099197387695,93.62537384033205,70.16851043701172,396.0909729003906,65
53,14,2928,1,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,6
54,15,3137,0,0,38.90396118164063,638.97509765625,47.44243621826172,643.8900756835938,7
55,158th,4451,0,0,426.9109191894531,93.61469268798828,437.4884338378906,396.090087890625,9
56,16,3356,1,0,59.59099197387695,93.63056182861328,70.16851043701172,381.08642578125,7
57,17,3618,0,0,37.3910026550293,732.8700561523438,47.9685173034668,745.8903198242188,8
58,18,3878,1,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,8
59,19,4104,0,0,37.3910026550293,732.8700561523438,47.9685173034668,745.8903198242188,9
60,1902.,15659,0,0,72.19098663330078,96.04620361328124,82.76850891113281,396.0910034179688,35
61,1906.,26921,0,0,312.91094970703125,223.70538330078125,323.48846435546875,396.0877685546875,62
62,"1915,",350,0,0,458.71136474609375,93.61878204345705,469.2888793945313,396.08978271484375,0
63,1919,11519,0,0,148.15097045898438,443.414306640625,158.72848510742188,745.8905639648438,26
64,1919.,26632,0,0,186.1909637451172,443.42578125,196.7684783935547,730.891357421875,62
65,1919.”,11507,0,0,110.23097229003906,715.4678344726562,120.8084945678711,745.8909301757812,26
66,1922.”,9520,1,0,500.8309020996094,443.41790771484375,511.4084167480469,745.8926391601562,21
67,2,172,1,0,37.3910026550293,93.50708770751952,47.9685173034668,101.247802734375,0
68,2,3519,1,0,399.5509033203125,93.63593292236328,410.12841796875,381.0865478515625,7
69,20,4298,1,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,9
70,21,4506,0,0,38.90396118164063,638.97509765625,47.44243621826172,643.8900756835938,10
71,22,4757,1,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,10
72,23,4995,0,0,37.3910026550293,732.8700561523438,47.9685173034668,745.8903198242188,11
73,24,5174,1,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,11
74,25,5368,0,0,38.90396118164063,638.97509765625,47.44243621826172,643.8900756835938,12
75,26,5573,1,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,12
76,27,5838,0,0,37.3910026550293,732.8700561523438,47.9685173034668,745.8903198242188,13
77,28,6036,0,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,13
78,29,6288,0,0,37.3910026550293,732.8700561523438,47.9685173034668,745.8903198242188,14
79,3,388,0,0,37.3910026550293,738.149658203125,47.9685173034668,745.8903198242188,1
80,3,6048,0,0,121.96012115478516,347.359130859375,132.19900512695312,396.0919494628906,13
81,30,6538,1,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,14
82,31,6754,0,0,37.3910026550293,732.8700561523438,47.9685173034668,745.8903198242188,15
83,32,6961,1,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,15
84,33,7183,1,0,37.3910026550293,732.8700561523438,47.9685173034668,745.8903198242188,16
85,34,7390,1,0,59.59099197387695,93.61981964111328,70.16851043701172,396.0909729003906,16
86,35,7594,0,0,38.90396118164063,638.97509765625,47.44243621826172,643.8900756835938,17
87,36,7799,1,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,17
88,37,8003,0,0,38.90396118164063,638.97509765625,47.44243621826172,643.8900756835938,18
89,38,8252,0,0,59.59099197387695,218.162109375,70.16851043701172,381.0904541015625,18
90,39,8431,0,0,59.59099197387695,443.42333984375,70.16851043701172,730.890380859375,19
91,4,670,1,0,37.3910026550293,93.50708770751952,47.9685173034668,101.247802734375,1
92,4,9443,0,0,337.1200866699219,697.1582641601562,347.35894775390625,745.8911743164062,21
93,4.30-5.00,26942,0,0,388.8709411621094,102.68073272705078,399.4484558105469,396.0877685546875,62
94,40,8630,1,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,19
95,41,8835,0,0,59.59099197387695,446.0823059082031,70.16851043701172,730.890380859375,20
96,42,9087,0,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,20
97,43,9325,0,0,37.3910026550293,732.8700561523438,47.9685173034668,745.8903198242188,21
98,44,9536,0,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,21
99,45,9803,0,0,37.3910026550293,732.8700561523438,47.9685173034668,745.8903198242188,22
100,46,10033,1,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,22
101,47,10249,0,0,37.3910026550293,732.8700561523438,47.9685173034668,745.8903198242188,23
102,48,10489,0,0,59.59099197387695,93.62519073486328,70.16851043701172,381.0904541015625,23
103,49,10684,0,0,38.90396118164063,638.97509765625,47.44243621826172,643.8900756835938,24
104,5,927,0,0,59.59099197387695,443.4171447753906,70.16851043701172,745.890869140625,2
105,5,12719,1,0,348.9109191894531,96.28802490234376,359.4884338378906,381.0845336914063,28
106,5.00-6.00,26949,1,0,401.4709167480469,102.71430206298828,412.0484313964844,396.0877685546875,62
107,50,10874,1,0,59.59099197387695,93.62622833251952,70.16851043701172,396.0909729003906,24
108,51,11088,0,0,59.59099197387695,590.7725830078125,70.16851043701172,730.890380859375,25
109,52,11288,0,0,59.59099197387695,352.8267517089844,70.16851043701172,381.0904541015625,25
110,53,11491,0,0,38.90396118164063,638.97509765625,47.44243621826172,643.8900756835938,26
111,54,11661,0,0,59.59099197387695,96.169189453125,70.16851043701172,381.0904541015625,26
112,55,11896,0,0,37.3910026550293,732.8700561523438,47.9685173034668,745.8903198242188,27
113,56,12179,0,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,27
114,57,12396,0,0,59.59099197387695,572.0572509765625,70.16851043701172,710.4857177734375,28
115,58,12594,0,0,59.59099197387695,93.62384796142578,70.16851043701172,381.0904541015625,28
116,59,12812,0,0,38.90396118164063,638.97509765625,47.44243621826172,643.8900756835938,29
117,"5th,",9520,0,0,500.8309020996094,443.41790771484375,511.4084167480469,745.8926391601562,21
118,6,1176,0,0,37.3910026550293,93.50708770751952,47.9685173034668,101.247802734375,2
119,6,15212,0,0,133.63096618652344,96.2926025390625,144.20848083496094,381.0860900878906,34
120,6.00,26925,1,0,338.2309265136719,124.39685821533205,348.8084411621094,396.0877685546875,62
121,6.15-6.30,26930,1,0,350.8309326171875,102.34937286376952,361.408447265625,396.0877990722656,62
122,60,12995,0,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,29
123,61,13220,0,0,38.90396118164063,638.97509765625,47.44243621826172,643.8900756835938,30
124,62,13440,1,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,30
125,63,13668,0,0,37.3910026550293,732.8700561523438,47.9685173034668,745.8903198242188,31
126,64,13883,0,0,59.59099197387695,93.62207794189452,70.16851043701172,396.0909729003906,31
127,65,14121,0,0,38.90396118164063,638.97509765625,47.44243621826172,643.8900756835938,32
128,66,14328,0,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,32
129,67,14593,0,0,37.3910026550293,732.8700561523438,47.9685173034668,745.8903198242188,33
130,68,14801,1,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,33
131,69,15015,0,0,37.3910026550293,732.8700561523438,47.9685173034668,745.8903198242188,34
132,7,1423,0,0,37.3910026550293,738.149658203125,47.9685173034668,745.8903198242188,3
133,7,17521,1,0,146.3509521484375,443.4237365722656,156.928466796875,730.890869140625,40
134,7.00-9.00,26952,1,0,414.19091796875,102.69367218017578,424.7684326171875,396.0877685546875,62
135,7.15-8.15,26934,0,0,376.1509399414063,102.66614532470705,386.72845458984375,396.082763671875,62
136,70,15201,1,0,37.3910026550293,93.50751495361328,47.9685173034668,106.52783203125,34
137,71,15422,0,0,37.3910026550293,732.8700561523438,47.9685173034668,745.8903198242188,35
138,72,15648,0,0,59.59099197387695,93.62897491455078,70.16851043701172,396.08599853515625,35
