mapped_id,word,sentence_id,location_in_sentence,bundle_id,xmin,ymin,xmax,ymax,Page
0,#A,548,1,0,250.11903381347656,330.8940734863281,292.1193542480469,340.8566589355469,2
1,#E,548,0,0,250.11903381347656,330.8940734863281,292.1193542480469,340.8566589355469,2
2,(#A),539,1,0,244.38302612304688,281.6824035644531,412.6624450683594,291.6449890136719,2
3,"(#E),",538,1,0,244.38302612304688,269.8069763183594,412.4680786132813,279.7695617675781,2
4,(1),51,1,0,53.67857360839844,401.8160705566406,221.66989135742188,411.7786560058594,0
5,(1),292,1,0,208.9598846435547,572.3267211914062,221.71600341796875,582.2893676757812,1
6,"(1),",304,1,0,244.36697387695312,102.74958801269533,412.5057678222656,112.71218872070312,1
7,(2),55,1,0,53.67857360839844,425.8059997558594,221.74766540527344,435.7685852050781,0
8,(2),319,1,0,244.35987854003903,234.64952087402344,412.8335266113281,244.61212158203125,1
9,(3),64,1,0,53.67857360839844,461.6713562011719,221.71376037597656,471.6339416503906,0
10,(3),324,0,0,399.6360778808594,296.8031005859375,412.3921813964844,306.76568603515625,1
11,(5),325,1,0,399.6360778808594,296.8031005859375,412.3921813964844,306.76568603515625,1
12,(KKT),320,1,0,244.35987854003903,246.5249481201172,412.5803527832031,256.487548828125,1
13,"(NB,",974,1,0,53.67893981933594,509.1951599121094,221.72805786132807,519.1577758789062,4
14,"(NB,",1027,1,0,244.36309814453125,537.070556640625,382.1559448242188,547.033203125,4
15,(SVDD),79,0,0,53.67857360839844,621.2422485351562,221.81529235839844,631.2048950195312,0
16,(SVDD),208,0,0,53.67903137207031,114.7489776611328,221.8297576904297,124.71157836914062,1
17,(SVDD),253,0,0,53.679046630859375,383.9485168457031,221.8278350830078,393.9111022949219,1
18,"0.2,",1048,0,0,244.3630828857422,620.6766967773438,278.83660888671875,630.6393432617188,4
19,0.396,927,0,0,303.6390380859375,311.37994384765625,321.74298095703125,318.3537292480469,4
20,"0.4,",1048,1,0,244.3630828857422,620.6766967773438,278.83660888671875,630.6393432617188,4
21,0.407,852,1,0,267.51904296875,112.179931640625,285.6229858398437,119.15373229980467,4
22,0.409,926,1,0,160.71902465820312,311.37994384765625,178.82301330566406,318.3537292480469,4
23,0.423,927,1,0,303.6390380859375,311.37994384765625,321.74298095703125,318.3537292480469,4
24,0.469,920,0,0,230.19903564453125,295.5399475097656,250.9014892578125,302.51373291015625,4
25,0.479,870,1,0,267.51904296875,159.93994140625,285.6229858398437,166.9137420654297,4
26,0.483,933,1,0,231.39903259277344,327.3399353027344,249.5030212402344,334.313720703125,4
27,0.512,881,1,0,116.07903289794922,191.8599548339844,136.64476013183594,198.8337554931641,4
28,0.514,930,0,0,196.11903381347656,319.4199523925781,214.2230224609375,326.39373779296875,4
29,0.514,930,1,0,196.11903381347656,319.4199523925781,214.2230224609375,326.39373779296875,4
30,0.521,934,1,0,231.39903259277344,327.3399353027344,249.5030212402344,334.313720703125,4
31,0.523,919,1,0,230.19903564453125,295.5399475097656,250.9014892578125,302.51373291015625,4
32,0.536,934,0,0,231.39903259277344,327.3399353027344,249.5030212402344,334.313720703125,4
33,0.537,920,1,0,230.19903564453125,295.5399475097656,250.9014892578125,302.51373291015625,4
34,0.541,931,0,0,339.0390319824219,319.4199523925781,357.1429748535156,326.39373779296875,4
35,0.548,923,0,0,266.31903076171875,303.4599304199219,287.0214233398437,310.4337158203125,4
36,0.551,892,1,0,303.6390380859375,215.73992919921875,321.74298095703125,222.71372985839844,4
37,0.553,923,1,0,266.31903076171875,303.4599304199219,287.0214233398437,310.4337158203125,4
38,0.557,924,0,0,266.31903076171875,303.4599304199219,287.0214233398437,310.4337158203125,4
39,0.559,867,1,0,120.51902770996094,159.93994140625,131.96791076660156,166.9137420654297,4
40,0.560,869,1,0,267.51904296875,159.93994140625,285.6229858398437,166.9137420654297,4
41,0.569,874,0,0,303.6390380859375,167.97991943359375,321.74298095703125,174.95372009277344,4
42,0.576,881,0,0,116.07903289794922,191.8599548339844,136.64476013183594,198.8337554931641,4
