model,balanced_accuracy,pr_auc
Random Forest,0.6577849196317312,0.36665098834496773
SVM,0.6453060986651606,0.32075179074134624
Bayes,0.426016497554566,0.38331070018329383
KNN,0.39807490110047733,0.3511236699881175
