mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1251673698425293,0.0015332430668287616,0.005508565902709961,0.0004418597986536796,3,1,100,"{'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100}",0.6563609621596492,0.6997419065252762,0.6417407121763007,0.6473554249272507,0.7256501350569934,0.6741698281690941,0.03283890583609509,3
0.3456858158111572,0.005228596221440068,0.010825490951538086,0.00039853870540233625,3,1,300,"{'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 300}",0.656929716284202,0.6984437577982435,0.6415225182602384,0.6523954883547098,0.7182012972096382,0.6734985555814064,0.02953957029990494,5
0.5666696071624756,0.0017561682894590895,0.016982555389404297,0.0007011705656837598,3,1,500,"{'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6562003216817222,0.6968243281153566,0.6418876150108773,0.6480143273470428,0.722364264301243,0.6730581712912483,0.031237496090068588,9
0.11724567413330078,0.0023698740609842304,0.004703807830810547,0.0001182750716662286,3,5,100,"{'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 100}",0.6559962648584093,0.6993772092240365,0.6404985190898073,0.649327811515022,0.7256501350569934,0.6741699879488536,0.03276215898488755,2
0.3442544937133789,0.0035700468794510926,0.010776901245117187,0.0002505341908173242,3,5,300,"{'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6562003216817222,0.6984437577982435,0.6415225182602384,0.6523954883547098,0.7182012972096382,0.6733526766609105,0.029622718054255273,6
0.5677930355072022,0.0007447779182197009,0.016579389572143555,0.00023699041822100526,3,5,500,"{'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 500}",0.6558356243804822,0.6968243281153566,0.6418876150108773,0.6480143273470428,0.721999167550604,0.6729122124808725,0.031162023764825606,10
0.11796879768371582,0.0023635672562109956,0.00479278564453125,0.00011482943706481283,3,10,100,"{'max_depth': 3, 'min_samples_leaf': 10, 'n_estimators': 100}",0.6556315675571693,0.6993772092240365,0.6381610357513972,0.6482325212631052,0.7252850383063544,0.6733374744204126,0.03333993650456615,7
0.3463697910308838,0.00709482749301041,0.01081399917602539,0.0002420237434698896,3,10,300,"{'max_depth': 3, 'min_samples_leaf': 10, 'n_estimators': 300}",0.656929716284202,0.6984437577982435,0.6415225182602384,0.652030391604071,0.7174711037083604,0.673279497531023,0.029371699417119427,8
0.5694262981414795,0.0015579300882225483,0.01669917106628418,7.672717354470298e-05,3,10,500,"{'max_depth': 3, 'min_samples_leaf': 10, 'n_estimators': 500}",0.6558356243804822,0.6968243281153566,0.6418876150108773,0.647649230596404,0.7216340707999652,0.6727661737806171,0.03110580614191964,11
0.1473252296447754,0.00258377563890985,0.005539226531982422,0.00019092010800740567,5,1,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 100}",0.6657996756465028,0.6568478931717444,0.6508681309422736,0.608415372085437,0.7339004574871119,0.663166305866614,0.0404946589990147,16
