,word_length,word_length,word_length,word_length,word_length,word_length,vowel_count,vowel_count,vowel_count,vowel_count,vowel_count,vowel_count,open_count,open_count,open_count,open_count,open_count,open_count,closed_count,closed_count,closed_count,closed_count,closed_count,closed_count,frequency,frequency,frequency,frequency,frequency,frequency,double_log_freq,double_log_freq,double_log_freq,double_log_freq,double_log_freq,double_log_freq,avg_sentiment,avg_sentiment,avg_sentiment,avg_sentiment,avg_sentiment,avg_sentiment
,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count
class_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambiguous,5.852990033222591,5.0,2.463191915085109,2,15,1204,2.2691029900332227,2.0,1.065131882853645,1,7,1204,0.0,0.0,0.0,0,0,1204,0.01079734219269103,0.0,0.10339070572913171,0,1,1204,63.426910299003325,11.0,391.31869110959406,5,9925,1204,0.6024157112821373,0.5934578873666095,0.0562268312533947,0.5343829898349378,0.7888071427355414,1204,0.30170232782014617,0.2974961088783339,0.2666353109201943,-0.6971,0.9267571428571428,1204
closed,3.989130434782609,3.0,2.0939187994866857,1,11,92,1.5869565217391304,1.0,0.9036212120087509,1,5,92,0.7717391304347826,1.0,0.7427785801376637,0,3,92,1.065217391304348,1.0,0.2482619949886758,1,2,92,5238.760869565217,1046.0,9799.167298520113,5,41555,92,0.7444131550479303,0.7527386053905585,0.051407962802784105,0.5343829898349378,0.806267400242127,92,0.3247664441587631,0.33509698754227946,0.1250344391134921,-0.0140583333333333,0.6245912820512819,92
open,6.976701410177805,7.0,2.4314126303803794,1,17,6524,2.6053034947884735,2.0,1.1513315714470576,1,7,6524,1.5442979767014102,1.0,0.6570643351361707,1,4,6524,0.0061312078479460455,0.0,0.08907409638928379,0,3,6524,114.04322501532802,16.0,556.1484710465296,5,19116,6524,0.6239177888651498,0.6161216046825284,0.06239296188657645,0.5343829898349378,0.7972071789532983,6524,0.32227709760414275,0.3487785460992908,0.2986177987612837,-0.87302,0.97842,6524
