,word_length,word_length,word_length,word_length,word_length,word_length,vowel_count,vowel_count,vowel_count,vowel_count,vowel_count,vowel_count,open_count,open_count,open_count,open_count,open_count,open_count,closed_count,closed_count,closed_count,closed_count,closed_count,closed_count,frequency,frequency,frequency,frequency,frequency,frequency,double_log_freq,double_log_freq,double_log_freq,double_log_freq,double_log_freq,double_log_freq,avg_sentiment,avg_sentiment,avg_sentiment,avg_sentiment,avg_sentiment,avg_sentiment
,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count
class_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambiguous,5.242718446601942,5.0,2.576157723437938,2,14,103,1.9514563106796117,2.0,1.069896831902809,1,5,103,0.0,0.0,0.0,0,0,103,0.0970873786407767,0.0,0.3288292693306838,0,2,103,24.12621359223301,9.0,52.99494604309729,5,372,103,0.5934068328393532,0.5800052903735844,0.04767495510552775,0.5343829898349378,0.730725245460503,103,0.0005227133405541312,0.0,0.17170299090285956,-0.7316428571428572,0.5178250000000001,103
closed,2.5675675675675675,3.0,0.8007128955756495,1,5,37,1.0810810810810811,1.0,0.2767247306920301,1,2,37,1.0,1.0,0.7817359599705717,0,3,37,1.054054054054054,1.0,0.22924343513512563,1,2,37,254.27027027027026,93.0,484.7624646640323,5,2498,37,0.6746583712154504,0.6920984047010715,0.06048785682915529,0.5343829898349378,0.7682891220542445,37,-0.02484073926005855,-0.0278,0.10196552990948186,-0.3327166666666666,0.2714891891891892,37
open,6.702367531003382,7.0,2.504493710339413,1,15,887,2.613303269447576,2.0,1.1889080206277525,1,6,887,1.5997745208568208,1.0,0.7197001781248701,1,4,887,0.036076662908680945,0.0,0.21990544547914087,0,3,887,15.080045095828636,9.0,19.425824565333393,5,198,887,0.5856750339990386,0.5800052903735844,0.0422549883715512,0.5343829898349378,0.7147242964149523,887,-0.002957827687598064,0.0014727272727272,0.23347912695294162,-0.7299444444444443,0.8718499999999999,887
