model,balanced_accuracy,pr_auc
Random Forest,0.6504003426801542,0.5117768611527064
SVM,0.6048560999630227,0.42776830099212165
Bayes,0.5101577573487686,0.4807971925291752
KNN,0.5033737154070609,0.470935787274768
