word,pos,plural
Amerindians,noun,1
Amerinds,noun,1
Amharic,noun,1
Amidol,noun,1
Amiens,noun,1
Amin,noun,1
Amish,noun,1
Amos,noun,1
Amphibia,noun,1
Amphictyon,noun,1
Amphitryon,noun,1
Amritsar,noun,1
Amsterdam,noun,1
Amundsen,noun,1
Amy,noun,1
Amytal,noun,1
Anacreon,noun,1
Anacreontic,noun,1
Anaheim,noun,1
Ananias,noun,1
Anasazi,noun,1
Anasazis,noun,1
Anastasia,noun,1
Anatole,noun,1
Anatolia,noun,1
Anatolian,noun,1
Ancona,noun,1
Andalusia,noun,1
Andalusian,noun,1
Anderlecht,noun,1
Andersen,noun,1
Anderson,noun,1
Andes,noun,1
Andorra,noun,1
Andorran,noun,1
Andorrans,noun,1
Andre,noun,1
Andrea,noun,1
Andrew,noun,1
Andrews,noun,1
Androcles,noun,1
Andromache,noun,1
Andy,noun,1
Angela,noun,1
Angeleno,noun,1
Angelenos,noun,1
Angelico,noun,1
Angelina,noun,1
Angelo,noun,1
Angevin,noun,1
Angie,noun,1
Anglesey,noun,1
Anglia,noun,1
Anglian,noun,1
Anglican,noun,1
Anglicanism,noun,1
Anglicans,noun,1
Anglistics,noun,1
Anglo,noun,1
Anglo-American,noun,1
Anglo-Catholic,noun,1
Anglo-Catholics,noun,1
Anglo-French,noun,1
Anglo-Indian,noun,1
Anglo-Irish,noun,1
Anglo-Norman,noun,1
Anglo-Saxon,noun,1
Anglo-Saxons,noun,1
Anglos,noun,1
Angola,noun,1
Angostura,noun,1
Anguilla,noun,1
Anguis,noun,1
Angus,noun,1
Anita,noun,1
Anjou,noun,1
Ankara,noun,1
Annabel,noun,1
Annabelle,noun,1
Annam,noun,1
Annapolis,noun,1
Annapurna,noun,1
Anne,noun,1
Annecy,noun,1
Annelida,noun,1
Annette,noun,1
Annie,noun,1
Annis,noun,1
Anouilh,noun,1
Anschauung,noun,1
Anschluss,noun,1
Anselm,noun,1
Ansermet,noun,1
Antabuse,noun,1
Antaeus,noun,1
Antananarivo,noun,1
Antarctic,noun,1
Antarctica,noun,1
Antares,noun,1
Anthea,noun,1
Anthesteria,noun,1
Anthony,noun,1
Anthozoa,noun,1
Antibes,noun,1
Antichrist,noun,1
Antietam,noun,1
Antigone,noun,1
Antigua,noun,1
Antiguan,noun,1
Antiguans,noun,1
Antioch,noun,1
Antiochian,noun,1
Antiochus,noun,1
Antofagasta,noun,1
Antoinette,noun,1
Anton,noun,1
Antonia,noun,1
Antoninus,noun,1
Antonio,noun,1
Antony,noun,1
Antrim,noun,1
Antwerp,noun,1
Anubis,noun,1
Anzac,noun,1
Anzio,noun,1
Apeldoorn,noun,1
Aphrodite,noun,1
Apia,noun,1
Apis,noun,1
Apollinaire,noun,1
Apollinaris,noun,1
Apollonius,noun,1
Apollyon,noun,1
Appalachia,noun,1
Appaloosa,noun,1
Appaloosas,noun,1
Appleby,noun,1
Appleton,noun,1
April,noun,1
Apuleius,noun,1
Apulia,noun,1
Apus,noun,1
Aqaba,noun,1
Aquarius,noun,1
Aquila,noun,1
Aquinas,noun,1
Aquitaine,noun,1
Ara,noun,1
Arab,noun,1
Arabella,noun,1
Arabia,noun,1
Arabian,noun,1
Arabians,noun,1
Arabic,noun,1
Arabist,noun,1
Arabists,noun,1
Arabs,noun,1
Araby,noun,1
Arachne,noun,1
Arachnida,noun,1
Arafat,noun,1
Aragon,noun,1
Aramaic,noun,1
Arapaho,noun,1
Arapahos,noun,1
Ararat,noun,1
Arawakan,noun,1
Arawakans,noun,1
Arbroath,noun,1
Arbuthnot,noun,1
Arcadia,noun,1
Arcadian,noun,1
Arcadianism,noun,1
Arcadians,noun,1
Arcady,noun,1
Archibald,noun,1
Archie,noun,1
Archilochus,noun,1
Archimedes,noun,1
Archipenko,noun,1
Archy,noun,1
Arctogaea,noun,1
Arcturus,noun,1
Arden,noun,1
Ardennes,noun,1
Arendt,noun,1
Areopagite,noun,1
Areopagus,noun,1
Aretha,noun,1
Arethusa,noun,1
Arezzo,noun,1
Argentina,noun,1
Argentine,noun,1
Argentines,noun,1
Argive,noun,1
Argo,noun,1
Argos,noun,1
Argyll,noun,1
Ariadne,noun,1
Arian,noun,1
Ariane,noun,1
Arianism,noun,1
Arianna,noun,1
Arianne,noun,1
Aries,noun,1
Arimathaea,noun,1
Arimathea,noun,1
Ariosto,noun,1
Aristarchus,noun,1
Aristides,noun,1
Aristippus,noun,1
Aristophanes,noun,1
Aristotelian,noun,1
Aristotelianism,noun,1
Aristotle,noun,1
Arita,noun,1
Arizona,noun,1
Arizonan,noun,1
Arizonans,noun,1
Arizonian,noun,1
Arizonians,noun,1
Arkansan,noun,1
Arkansans,noun,1
Arkansas,noun,1
Arkwright,noun,1
Arlington,noun,1
Armageddon,noun,1
Armagh,noun,1
Armagnac,noun,1
Armco,noun,1
Armenia,noun,1
Armenian,noun,1
Armenians,noun,1
Armenoid,noun,1
Arminian,noun,1
Arminianism,noun,1
Armorican,noun,1
Armstrong,noun,1
Armstrong-Jones,noun,1
Arne,noun,1
Arnhem,noun,1
Arno,noun,1
Arnold,noun,1
Arp,noun,1
Arran,noun,1
Arrau,noun,1
Arrhenius,noun,1
Artaud,noun,1
Artemis,noun,1
Arthropoda,noun,1
Arthur,noun,1
Artie,noun,1
Aruba,noun,1
Arundel,noun,1
Aryan,noun,1
Aryans,noun,1
Asa,noun,1
Ascensiontide,noun,1
Asclepiadean,noun,1
Asclepius,noun,1
Ascot,noun,1
Asgard,noun,1
Ashanti,noun,1
Ashcroft,noun,1
Ashdown,noun,1
Ashe,noun,1
Asher,noun,1
Ashford,noun,1
Ashkenazi,noun,1
Ashkhabad,noun,1
Ashleigh,noun,1
Ashley,noun,1
Ashling,noun,1
Ashton,noun,1
Ashton-under-Lyne,noun,1
Ashtoreth,noun,1
Asia,noun,1
Asian,noun,1
Asians,noun,1
Asiatic,noun,1
Asmara,noun,1
Asmodeus,noun,1
Aspasia,noun,1
Asquith,noun,1
Assad,noun,1
Assam,noun,1
Assamese,noun,1
Assisi,noun,1
Assyria,noun,1
Assyrian,noun,1
Assyrians,noun,1
Assyriologist,noun,1
Assyriology,noun,1
Astaire,noun,1
Astarte,noun,1
Asteroidea,noun,1
Asti,noun,1
Aston,noun,1
Astor,noun,1
Astrid,noun,1
Aswan,noun,1
Atalanta,noun,1
Aten,noun,1
Athabaska,noun,1
Athanasian,noun,1
Atharva-Veda,noun,1
Athelstan,noun,1
Athena,noun,1
Athene,noun,1
Athenian,noun,1
Athenians,noun,1
Athens,noun,1
Atherton,noun,1
Athos,noun,1
Atkinson,noun,1
Atlanta,noun,1
Atlantic,noun,1
Atlantis,noun,1
Aton,noun,1
Atreus,noun,1
Atropos,noun,1
Attenborough,noun,1
Attica,noun,1
Atticism,noun,1
Attila,noun,1
Attlee,noun,1
Atwood,noun,1
Aube,noun,1
Auber,noun,1
Auberon,noun,1
Aubrey,noun,1
Auckland,noun,1
Aude,noun,1
Auden,noun,1
Audrey,noun,1
Audubon,noun,1
Auer,noun,1
Auerbach,noun,1
Augsburg,noun,1
Augusta,noun,1
Augustan,noun,1
Augustine,noun,1
Augustinian,noun,1
Augustinianism,noun,1
Augustus,noun,1
Aurelius,noun,1
Auriga,noun,1
Auschwitz,noun,1
Ausgleich,noun,1
Auslese,noun,1
Aussie,noun,1
Aussies,noun,1
Austen,noun,1
Auster,noun,1
Austerlitz,noun,1
Austin,noun,1
Australasia,noun,1
Australasian,noun,1
Australia,noun,1
Australian,noun,1
Australianism,noun,1
Australians,noun,1
Australoid,noun,1
Australoids,noun,1
Australopithecine,noun,1
Australopithecus,noun,1
Australorp,noun,1
Austria,noun,1
Austrian,noun,1
Austrians,noun,1
Austroasiatic,noun,1
Austronesian,noun,1
Autolycus,noun,1
Auvergne,noun,1
Avalon,noun,1
Avebury,noun,1
Avernus,noun,1
Averroism,noun,1
Averroist,noun,1
Avertin,noun,1
Avesta,noun,1
Avestan,noun,1
Aveyron,noun,1
Aviemore,noun,1
Avignon,noun,1
Avogadro,noun,1
Avon,noun,1
Avril,noun,1
Aycliffe,noun,1
Ayer,noun,1
Ayesha,noun,1
Aylesbury,noun,1
Aymara,noun,1
Aymaras,noun,1
Ayr,noun,1
Ayrshire,noun,1
Ayurveda,noun,1
Azerbaijan,noun,1
Azerbaijani,noun,1
Azerbaijanis,noun,1
Azilian,noun,1
Azrael,noun,1
Aztec,noun,1
Aztecs,noun,1
Baal,noun,1
Baalbek,noun,1
Baalism,noun,1
Baalite,noun,1
Bab,noun,1
Babar,noun,1
Babbage,noun,1
Babbie,noun,1
Babbitry,noun,1
Babbittry,noun,1
Babel,noun,1
Baber,noun,1
Babi,noun,1
Babis,noun,1
Babism,noun,1
Babist,noun,1
Babists,noun,1
Babs,noun,1
Baby-bouncer,noun,1
Baby-bouncers,noun,1
Babylon,noun,1
