word,pos
scrappy,adj
truculent,adj
unaggressive,adj
low-pressure,adj
agitated,adj
aroused,adj
distraught,adj
jolted,adj
feverish,adj
frantic,adj
hysterical,adj
psychedelic,adj
wild-eyed,adj
unagitated,adj
churning,adj
rippled,adj
seething,adj
stirred,adj
nonturbulent,adj
unstirred,adj
agreeable,adj
disagreeable,adj
annoying,adj
harsh,adj
nerve-racking,adj
unsweet,adj
air-to-surface,adj
air-to-air,adj
surface-to-air,adj
alert,adj
argus-eyed,adj
fly,adj
heads-up,adj
lidless,adj
unalert,adj
algorithmic,adj
recursive,adj
heuristic,adj
trial-and-error,adj
alienable,adj
appropriable,adj
assignable,adj
inalienable,adj
non-negotiable,adj
nontransferable,adj
alive(p),adj
liveborn,adj
viable,adj
vital,adj
asleep(p),adj
assassinated,adj
bloodless,adj
brain dead,adj
breathless,adj
cold,adj
d.o.a.,adj
deathlike,adj
defunct,adj
doomed,adj
executed,adj
fallen,adj
late(a),adj
lifeless,adj
murdered,adj
nonviable,adj
slain,adj
stillborn,adj
stone-dead,adj
apocrine,adj
eccrine,adj
artesian,adj
subartesian,adj
live,adj
in play(p),adj
living(a),adj
out of play(p),adj
alphabetic,adj
abecedarian,adj
alphabetized,adj
analphabetic,adj
altricial,adj
precocial,adj
altruistic,adj
egoistic,adj
self-absorbed,adj
ambiguous,adj
double-barreled,adj
double-edged,adj
enigmatic,adj
left-handed,adj
multivalent,adj
polysemous,adj
uncertain,adj
unambiguous,adj
monosemous,adj
ambitious,adj
pushful,adj
aspirant,adj
compulsive,adj
manque,adj
overambitious,adj
unambitious,adj
shiftless,adj
ametropic,adj
emmetropic,adj
full,adj
generous,adj
meager,adj
bare(a),adj
exiguous,adj
hand-to-mouth(a),adj
hardscrabble,adj
measly,adj
anabolic,adj
constructive-metabolic,adj
catabolic,adj
destructive-metabolic,adj
anaclinal,adj
cataclinal,adj
anastigmatic,adj
astigmatic,adj
anticlinal,adj
synclinal,adj
anadromous,adj
catadromous,adj
diadromous,adj
anabatic,adj
katabatic,adj
anal,adj
oral,adj
analogue,adj
digital,adj
analytic,adj
synthetic,adj
isolating(a),adj
agglutinative,adj
inflectional,adj
derivational,adj
apocarpous,adj
syncarpous,adj
angry,adj
aggravated,adj
angered,adj
black,adj
choleric,adj
hot under the collar(p),adj
huffy,adj
indignant,adj
irate,adj
livid,adj
smoldering,adj
wrathful,adj
unangry(p),adj
resentful,adj
acrimonious,adj
rancorous,adj
unresentful,adj
unbitter,adj
sentient,adj
sensate,adj
insentient,adj
unfeeling,adj
animate,adj
inanimate,adj
nonconscious,adj
animated,adj
enlivened,adj
full of life,adj
reanimated,adj
unanimated,adj
wan,adj
perked up,adj
unenlivened,adj
anonymous,adj
nameless,adj
onymous,adj
binomial,adj
pseudonymous,adj
antemortem,adj
postmortem,adj
antecedent,adj
anterior,adj
anticipatory,adj
preexistent,adj
subsequent,adj
attendant,adj
later(a),adj
antrorse,adj
retrorse,adj
decurved,adj
aquatic,adj
marine,adj
semiaquatic,adj
subaqueous,adj
terrestrial,adj
onshore,adj
overland,adj
amphibious,adj
amphibiotic,adj
preceding(a),adj
above,adj
above-mentioned,adj
foregoing(a),adj
introductory,adj
precedent,adj
premedical,adj
preparatory,adj
previous(a),adj
succeeding(a),adj
back-to-back,adj
ensuing,adj
following(a),adj
following,adj
in line,adj
precedented,adj
unprecedented,adj
prehensile,adj
nonprehensile,adj
prenatal,adj
perinatal,adj
postnatal,adj
preprandial,adj
postprandial,adj
prewar,adj
postwar,adj
retrograde,adj
anterograde,adj
antemeridian,adj
ante meridiem,adj
postmeridian,adj
post meridiem,adj
frontal,adj
prefrontal,adj
posterior,adj
back(a),adj
caudal,adj
retral,adj
dorsal,adj
ventral,adj
dorsoventral,adj
appealable,adj
unappealable,adj
appendaged,adj
unappendaged,adj
