 (4) ||Φ(xi) − a||2 >R 2 ⇒ αi = C,10,32,0.0,0,ClassOverlapping,,-1
" (5) From the above results, the domain de- scription is represented in terms of only support vectors whose Lagrange multi- pliers satisfy 0 <α i <C ",27,148,0.6908,0,ClassOverlapping,,-1
 Support vectors deﬁne the boundary of training data,8,51,0.4019,0,ClassOverlapping,,-1
" So, SVDD can be used to ﬁnd overlapping region, as shown in Fig",13,63,0.0,0,ClassOverlapping,,-1
 1,1,1,0.0,0,ClassOverlapping,,-1
 Red dotted and blue dashed line are the boundaries of the two classes,13,69,0.0,0,ClassOverlapping,,-1
 The data dropped in both two spheres can be thought as the overlapping data which is close to or overlaps with each other,23,121,0.0,0,ClassOverlapping,,-1
 Fig,1,3,0.0,0,ClassOverlapping,,-1
 1: Boundaries described by SVDD,5,31,0.0,0,ClassOverlapping,,-1
 2,1,1,0.0,0,ClassOverlapping,,-1
2,0,0,0.0,0,ClassOverlapping,,-1
 Schemes for dealing with class overlapping problem The research on this topic mainly fo- cuses on schemes for dealing with class 492 The 2010 International Conference on E-Business Intelligence ,30,194,0.1027,0,ClassOverlapping,,-1
"overlapping problem, which can be di- vided into two strategies",9,62,-0.4019,0,ClassOverlapping,,-1
 One is to merge the overlapping classes into a meta-class and ignore the boundary be- tween these classes,18,105,-0.3612,0,ClassOverlapping,,-1
 The other is to separate the overlapping classes by re- ﬁning the classiﬁcation boundary in the feature space,18,109,0.0,0,ClassOverlapping,,-1
" In this paper, we propose and eval- uate three diﬀerent overlapping-class modeling schemes, namely the discard- ing, merging and separating schemes, to handle class overlapping problem for the comparative study",30,210,-0.5719,0,ClassOverlapping,,-1
 The discarding scheme ( d): this scheme ignores the data in overlapping regions and learns on the data in non- overlapping region,22,129,-0.4215,0,ClassOverlapping,,-1
 Each test data will be tested on the model learned by this scheme,13,65,0.0,0,ClassOverlapping,,-1
" The merging scheme ( m): this scheme merges the data from overlap- ping regions as a new class, labeled ‘overlapping’ ",21,118,0.0,0,ClassOverlapping,,-1
 Then the scheme focus on the whole data with ‘overlapping’ class added,12,70,0.0,0,ClassOverlapping,,-1
" After that, the scheme continues to learn on the data in over- lapping region",14,77,0.0,0,ClassOverlapping,,-1
" So, two models can be got",6,25,0.0,0,ClassOverlapping,,-1
" One is the model of the data that adds ‘overlapping’ class, and the other is the model of the data in overlapping region",23,120,0.0,0,ClassOverlapping,,-1
 Each test data will be ﬁrstly tested on the ﬁrst model,11,54,0.0,0,ClassOverlapping,,-1
" If it is clas- siﬁed as ’overlapping’, it will be tested on the second model to determine its original class",20,108,0.3182,0,ClassOverlapping,,-1
 The separating scheme ( s): this scheme learns on data in overlap- ping and non-overlapping regions sep- arately,18,112,0.0,0,ClassOverlapping,,-1
 It can get two models,5,21,0.0,0,ClassOverlapping,,-1
" One is the model of the data in overlapping re- gion, and the other is the model of the data in non-overlapping region",23,118,0.0,0,ClassOverlapping,,-1
 Each test data will be tested on the model which is determined by that if the test data is lying on non-overlapping re- gions or overlapping regions,27,148,-0.25,0,ClassOverlapping,,-1
 3,1,1,0.0,0,ClassOverlapping,,-1
 Experimental Results The main goal of this research is to gain some insights on class overlap- ping problem and its interrelationship with class imbalance problem,25,162,-0.25,0,ClassOverlapping,,-1
 We will investigate how schemes dealing with class overlapping problem aﬀect the performance of learning in such condi- tions,19,125,-0.4019,0,ClassOverlapping,,-1
